,Unnamed: 0,id_sim,round,attendance,id_player,decision,score,model,threshold,num_agents
0,0,69b32ebc-a466-11f0-be40-d094662e0881,0,"[0, 0, 1, 1, 0, 0]",0,0,0,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
1,1,69b32ebc-a466-11f0-be40-d094662e0881,0,"[0, 0, 1, 1, 0, 0]",1,0,0,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
2,2,69b32ebc-a466-11f0-be40-d094662e0881,0,"[0, 0, 1, 1, 0, 0]",2,1,1,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
3,3,69b32ebc-a466-11f0-be40-d094662e0881,0,"[0, 0, 1, 1, 0, 0]",3,1,1,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
4,4,69b32ebc-a466-11f0-be40-d094662e0881,0,"[0, 0, 1, 1, 0, 0]",4,0,0,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
5,5,69b32ebc-a466-11f0-be40-d094662e0881,0,"[0, 0, 1, 1, 0, 0]",5,0,0,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
6,6,69b32ebc-a466-11f0-be40-d094662e0881,1,"[1, 1, 0, 1, 1, 1]",0,1,-1,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
7,7,69b32ebc-a466-11f0-be40-d094662e0881,1,"[1, 1, 0, 1, 1, 1]",1,1,-1,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
8,8,69b32ebc-a466-11f0-be40-d094662e0881,1,"[1, 1, 0, 1, 1, 1]",2,0,0,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
9,9,69b32ebc-a466-11f0-be40-d094662e0881,1,"[1, 1, 0, 1, 1, 1]",3,1,-1,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
10,10,69b32ebc-a466-11f0-be40-d094662e0881,1,"[1, 1, 0, 1, 1, 1]",4,1,-1,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
11,11,69b32ebc-a466-11f0-be40-d094662e0881,1,"[1, 1, 0, 1, 1, 1]",5,1,-1,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
12,12,69b32ebc-a466-11f0-be40-d094662e0881,2,"[0, 1, 0, 0, 0, 0]",0,0,0,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
13,13,69b32ebc-a466-11f0-be40-d094662e0881,2,"[0, 1, 0, 0, 0, 0]",1,1,1,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
14,14,69b32ebc-a466-11f0-be40-d094662e0881,2,"[0, 1, 0, 0, 0, 0]",2,0,0,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
15,15,69b32ebc-a466-11f0-be40-d094662e0881,2,"[0, 1, 0, 0, 0, 0]",3,0,0,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
16,16,69b32ebc-a466-11f0-be40-d094662e0881,2,"[0, 1, 0, 0, 0, 0]",4,0,0,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
17,17,69b32ebc-a466-11f0-be40-d094662e0881,2,"[0, 1, 0, 0, 0, 0]",5,0,0,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
18,18,69b32ebc-a466-11f0-be40-d094662e0881,3,"[0, 1, 1, 1, 0, 0]",0,0,0,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
19,19,69b32ebc-a466-11f0-be40-d094662e0881,3,"[0, 1, 1, 1, 0, 0]",1,1,1,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
20,20,69b32ebc-a466-11f0-be40-d094662e0881,3,"[0, 1, 1, 1, 0, 0]",2,1,1,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
21,21,69b32ebc-a466-11f0-be40-d094662e0881,3,"[0, 1, 1, 1, 0, 0]",3,1,1,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
22,22,69b32ebc-a466-11f0-be40-d094662e0881,3,"[0, 1, 1, 1, 0, 0]",4,0,0,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
23,23,69b32ebc-a466-11f0-be40-d094662e0881,3,"[0, 1, 1, 1, 0, 0]",5,0,0,FRA+Payoff+Attendance_upwards,0.6666666666666666,6
